OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,SiteEnergyUse(kBtu),ComplianceStatus,Outlier,usage_type
26596,2016,NonResidential,Small- and Mid-Sized Office,W0164 Washington Building,164 s washington  st,Seattle,WA,98104.0,5247800575,7,DOWNTOWN,47.6011,-122.33197,1900,1.0,1,20880,0,20880,Office,Office,20880.0,,,,,,683274.0,Compliant,,Mono-usage
26600,2016,NonResidential,Mixed Use Property,Cadillac Hotel,319 2nd Avenue South,Seattle,WA,98104.0,5247800715,7,DOWNTOWN,47.59938,-122.33197,1966,1.0,3,26000,0,26000,"Office, Other - Entertainment/Public Assembly",Office,13000.0,Other - Entertainment/Public Assembly,13000.0,,,,1063035.875,Compliant,,Multi-usages
26601,2016,NonResidential,Small- and Mid-Sized Office,Duncan Building,315 2nd Avenue South,Seattle,WA,98104.0,5247800720,7,DOWNTOWN,47.59954,-122.33201,1900,1.0,3,38675,0,38675,"Office, Restaurant",Office,12100.0,Restaurant,4281.0,,,,1938776.75,Compliant,,Multi-usages
26602,2016,Nonresidential COS,Small- and Mid-Sized Office,Fire Headquarters,301 2nd Ave S (401 Yesler Way),Seattle,WA,98104.0,5247800725,7,DOWNTOWN,47.59986,-122.33195,1929,1.0,4,49951,0,49951,"Office, Other",Office,32039.0,Other,24035.0,,,,5134446.0,Compliant,,Multi-usages
26611,2016,NonResidential,Medical Office,Rainier Beach Medical & Dental Clinic,9245 Rainier Ave S,Seattle,WA,98118.0,7129304415,2,SOUTHEAST,47.5195,-122.26935,2010,1.0,2,25880,0,25880,Medical Office,Medical Office,25880.0,,,,,,1941728.75,Compliant,,Mono-usage
26657,2016,NonResidential,Worship Facility,University Lutheran Church,1604 NE 50th St,Seattle,WA,98105.0,8823901075,4,NORTHEAST,47.66517,-122.31037,1927,1.0,3,41013,0,41013,"Office, Worship Facility",Worship Facility,32098.0,Office,2310.0,,,,1080821.0,Compliant,,Multi-usages
26667,2016,NonResidential,Other,Hillel Foundation,4745 17th Ave. NE,Seattle,WA,98105.0,8823901885,4,NORTHEAST,47.66453,-122.30999,2004,1.0,2,21075,0,21075,"Office, Social/Meeting Hall",Social/Meeting Hall,18075.0,Office,3000.0,,,,1581036.75,Compliant,,Multi-usages
26670,2016,NonResidential,Worship Facility,Calvary Christian Assembly,6801 Roosevelt Way NE,Seattle,WA,98133.0,9528102345,4,NORTHEAST,47.67842,-122.31949,1950,1.0,3,46485,0,46485,Worship Facility,Worship Facility,63922.0,,,,,,1544995.75,Compliant,,Mono-usage
26681,2016,NonResidential,Small- and Mid-Sized Office,(ID#26681) RAVENNA OFFICE BLDG,444 NE RAVENNA BLVD,Seattle,WA,98115.0,9528103705,6,NORTHWEST,47.67819,-122.3231,1965,1.0,4,56896,0,56896,"Office, Parking",Office,40768.0,Parking,16128.0,,,,1402048.5,Compliant,,Multi-usages
26695,2016,NonResidential,Worship Facility,Church in Seattle,6900 Woodlawn Ave. NE,Seattle,WA,98115.0,9528104205,6,NORTHWEST,47.67783,-122.32577,1978,1.0,2,27500,0,27500,Worship Facility,Worship Facility,27500.0,,,,,,577123.125,Compliant,,Mono-usage
26705,2016,NonResidential,Small- and Mid-Sized Office,Graybar Building,416 Occidental Ave S,Seattle,WA,98104.0,5247800780,2,DOWNTOWN,47.59856,-122.33248,1930,1.0,2,36630,0,36630,"Distribution Center, Office",Office,22000.0,Distribution Center,11000.0,,,,541943.3125,Compliant,,Multi-usages
