datayear,buildingtype,primarypropertytype,councildistrictcode,neighborhood,latitude,longitude,yearbuilt,numberofbuildings,numberoffloors,propertygfatotal,propertygfaparking,propertygfabuilding(s),listofallpropertyusetypes,largestpropertyusetype,largestpropertyusetypegfa,secondlargestpropertyusetype,secondlargestpropertyusetypegfa,thirdlargestpropertyusetype,thirdlargestpropertyusetypegfa,energystarscore,siteenergyuse(kbtu),defaultdata,totalghgemissions,ghgemissionsintensity,usage_type,BuildingAge,ParkingRatio,BuildingRatio,IsMultiUse,NumberPropertyUses
2016,NonResidential,Hotel,7,DOWNTOWN,47.61155,-122.34114,1908,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,Other - Entertainment/Public Assembly,26450.0,Retail Store,8000.0,99.0,5401277.5,False,227.18,1.85,Multi-usages,108,0.0,1.0,1,3
2016,NonResidential,Hotel,7,LAKE UNION,47.61986,-122.34413,1959,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,70627.0,Parking,42546.0,,,86.0,5284343.5,False,144.79,1.28,Multi-usages,57,0.3759377236620042,0.6240622763379958,1,2
2016,NonResidential,Hotel,7,LAKE UNION,47.62001,-122.34274,2000,1.0,7,150453,34735,115718,Hotel,Hotel,107547.0,Restaurant,3000.0,,,84.0,6715187.0,False,199.95,1.33,Multi-usages,16,0.2308694409549826,0.7691305590450174,0,1
2016,NonResidential,Hotel,7,LAKE UNION,47.62025,-122.34314,1997,1.0,6,116300,28200,88100,Hotel,Hotel,88490.0,Parking,28300.0,,,80.0,5827595.5,False,162.39,1.4,Multi-usages,19,0.2424763542562338,0.7575236457437661,0,1
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998,1.0,6,155602,36744,118858,Hotel,Hotel,155602.0,,,,,81.0,6836900.0,False,152.76,0.98,Mono-usage,18,0.2361409236385136,0.7638590763614863,0,1
2016,NonResidential,K-12 School,3,EAST,47.63442,-122.30793,1911,1.0,3,56072,0,56072,K-12 School,K-12 School,56072.0,,,,,76.0,3234787.75,False,146.34,2.61,Mono-usage,105,0.0,1.0,0,1
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999,1.0,4,122942,44891,78051,"Hotel, Parking",Hotel,78051.0,Parking,44891.0,,,94.0,5337334.0,False,171.64,1.4,Multi-usages,17,0.3651396593515641,0.6348603406484359,1,2
2016,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,47.60823,-122.30956,1962,1.0,2,54984,0,54984,Office,Office,54984.0,,,,,71.0,3375211.0,False,87.98,1.6,Mono-usage,54,0.0,1.0,0,1
2016,NonResidential,Senior Care Community,1,SOUTHWEST,47.55837,-122.37751,1922,1.0,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,296313.0,Parking,0.0,,,54.0,42792072.0,False,1727.11,7.94,Multi-usages,94,0.0,1.0,1,2
2016,NonResidential,Senior Care Community,5,NORTHWEST,47.72426,-122.35599,1970,1.0,2,93397,0,93397,Senior Care Community,Senior Care Community,93397.0,,,,,1.0,16402563.0,False,609.1,6.52,Mono-usage,46,0.0,1.0,0,1
2016,NonResidential,Hotel,7,LAKE UNION,47.61988,-122.33211,2008,1.0,6,84103,20732,63371,"Hotel, Parking",Hotel,63371.0,Parking,20732.0,,,74.0,3706100.25,False,67.06,0.8,Multi-usages,8,0.2465072589562798,0.7534927410437202,1,2
2016,NonResidential,Medical Office,3,EAST,47.61244,-122.3214,1965,0.0,3,179014,0,179014,Medical Office,Medical Office,179014.0,,,,,48.0,16701055.0,False,430.84,2.41,Mono-usage,51,0.0,1.0,0,1
2016,NonResidential,Hotel,3,EAST,47.60898,-122.32693,1908,1.0,7,76631,0,76631,Hotel,Hotel,76631.0,,,,,71.0,7258758.5,False,262.75,3.43,Mono-usage,108,0.0,1.0,0,1
